"parameter","Mean","lcl","ucl","f"
"beta.phi1",1.2913475044101,0.79496151278431,1.77811998159409,1
"b1.city",-0.107886728404397,-0.561088756318511,0.398406935045259,0.692666666666667
"b1.mnprecip",0.149900575226234,-0.319841888689141,0.666580363183146,0.7375
"b1.drought",0.552281238356276,0.197780740519338,1.05323326521395,0.999666666666667
"b1.int",-0.00754676428408951,-0.422696129113053,0.365534835193066,0.5025
"sigma.site.1",0.644195530657794,0.209650828669537,1.28448508009753,1
"beta.phi2",3.19299987210631,2.89823506270764,3.50215568539881,1
"b2.male",-0.235133288140284,-0.395950554896452,-0.074214205559527,0.998
"b2.city",0.1985864549843,0.0161855021554683,0.388707745928805,0.983
"b2.mnprecip",-0.144732760316145,-0.356161736593548,0.071297476515874,0.908
"b2.drought",0.804312451968143,0.568133491010204,1.05406664677676,1
"b2.int",-0.234148523848585,-0.409948876857174,-0.0448099120815683,0.991833333333333
"b2.trend",0.448366232736328,0.310769083168216,0.596495316815165,1
"b2.trend2",-0.227220709190988,-0.413068691341859,-0.0319920580636867,0.99
"sigma.site.2",0.299013605600268,0.164682406680016,0.496913191871179,1
"gamma.psi",-2.44474654653621,-2.82620871736901,-1.99287280832787,1
"c.mnprecip",0.364204845262293,-0.116379959040409,0.817160451969525,0.940666666666667
"sigma.site.t",0.347790064758513,0.0185074421227119,1.16045160978173,1
"alpha.p1",-0.376314779919616,-0.713377583360278,-0.00958331098191275,0.9775
"a1.precip",-0.123903875989052,-0.358242979186787,0.103097335618327,0.852333333333333
"a1.effort",-0.0384438189868585,-0.44225646076482,0.349966468387534,0.568166666666667
"alpha.p2",0.75755658914125,0.615838610195683,0.900081174061083,1
"a2.male",0.635458219989008,0.405560519861532,0.877780390604251,1
"a2.precip",-0.102902221818441,-0.18421014506014,-0.0192331392619873,0.991666666666667
"a2.effort",0.0615378341055794,-0.0617749667531233,0.184885844485219,0.829166666666667
